
अंकल (m)	 uncle
नोट (m)	 note; banknote
नौ	 nine
नौकर (m)	 servant
नौकरी (f)	 job; employment; service
नौजवान (m)	 youth; young man
पंखा (m)	 fan
पंचम	 fifth
पंजाबी	 Panjabi
पंडित (m)	 pandit
पकड़ना	 to catch; grab; hold
पक्का	 ripe
पच्चीस	 twenty-five
पछताना	 to regret
पड़ना	 to fall; befall
पड़ा	 lying
पड़ोसी (m)	 neighbour
पढ़ना	 to read; study
पढ़ाई (f)	 studies; studying
पढ़ाना	 to teach
पतंग (f)	 kite (toy)
पतला	 thin
पता (m)	 address
पति (m)	 husband
पत्थर (m)	 stone
पत्नी (f)	 wife
पत्र (m)	 letter
परंतु	 but
पर	 but; on; at
परदा (m)	 curtain; veil; purdah
परवाह करना	 to care
परसों	 the day before yesterday; the day after tomorrow
परिवर्तन (m)	 alteration
परिवार (m)	 family
परिस्थिति(याँ) (f)	 circumstance(s)
परीक्षा (f)	 examination
परेशान	 troubled; upset; worried 
पल (m)	 moment
पलंग (m)	 bed
पवन (m)	 wind
पसंद (f)	 liked; pleasing
पहचानना	 to recognize
पहनना	 to put on; wear
पहर (m)	 watch; part of day
पहला	 first
पहले	 previously; first
पहाड़ (m)	 hill; mountain
पहिया (m)	 wheel
पहुँचना	 to arrive; reach
पहुँचाना	 to convey; deliver
पाँच	 five
पाँचवाँ	 fifth
पाकिस्तान (m)	 Pakistan
पाकिस्तानी	 Pakistani
पागल	 mad; crazy
पाठ (m)	 lesson; chapter
पान (m)	 paan
पाना	 to find; obtain
पानी (m)	 water
पापा (m)	 papa; father
पार करना	 to cross
पारिवारिक	 familial
पास	 nearby
पास करना	 to pass (exam etc.)
पिछला	 last; previous
पिता (m)	 father
पीछा (m)	 rear; pursuit
पीछे	 behind
पीना	 to drink; to smoke
पुराना	 old (of things)
पुल (m)	 bridge
पुलिस (f)	 police
पुस्तक (f)	 book
पूँछ (f)	 tail
पूछना	 to ask
पूरा	 full; complete
पेंसिल (f)	 pencil
पे	 on; to
पेट (m)	 stomach
पेड़ (m)	 tree
पेशा (m)	 profession
पैदा होना	 to be born; produced
पैसा (m)	 money; paisa (hundredth of a rupee)
पौन/पौना	 three-quarters
प्याज़ (f)	 onion
प्यार (m)	 love; affection
प्यारा	 dear; lovely; beloved
प्याला (m)	 cup
प्यास (f)	 thirst
प्रकाशक (m)	 publisher
प्रकाशित	 published
प्रति (f)	 copy (of book etc.)
प्रतीत होना	 to seem
प्रथम	 first
प्रदूषण (m)	 pollution
प्रदेश (m)	 state; province
प्रधान मंत्री (m)	 prime minister
प्रयोग (m)	 use; usage
प्रश्न (m)	 question
प्राचीन	 ancient
प्राध्यापक (m)	 lecturer
प्राप्त करना	 to obtain; attain
प्रेम (m)	 love
प्रसिद्ध	 famous
प्रिय	 dear
प्रोग्राम (m)	 programme; plan; routine
फँसना	 to be stuck; caught; snared
फरवरी (f)	 February
फर्क (m)	 difference; separation
फर्श (m)	 floor
फल (m)	 fruit
फाड़ना	 to tear
फायदा (m)	 profit; advantage
फारसी (f)	 Persian
फिर	 then; so; again
फिरना	 to turn; move
फ़िलहाल	 in the meantime
फ़िल्म (f)	 film
फ़िल्मी	 of the films
फुरसत (f)	 leisure; free time
फुसफुसाना	 to whisper
फूल (m)	 flower
फैक्स (m)	 fax
फोटो (f)	 photograph
फ़ोन करना	 to phone
बँगला (m)	 Bengali (language)
बंद	 closed; shut
बंदर (m)	 monkey
बगल (f)	 side; flank
बगीचा (m)	 garden
बचना	 to escape; survive
बचपन (m)	 childhood
बचा	 saved; left
बचाना	 to rescue; save
बच्चा (m)	 child
बजना	 to resound; chime
बजाना	 to play (music)
बजे	o'clock
बड़ा	 big
बढ़ना	 to increase; grow; advance
बढ़िया	 nice; of good quality
बताना	 to tell
बत्ती (f)	 light; lamp
बत्तीसी (f)	'set of 32'—full complement of teeth
बदमाश (m)	 villain; rogue
बदलना	 to change
बदसूरत	 ugly
बधाई (f)	 congratulation
बन (m)	 forest; wood; jungle
बनना	 to be; become; be made; act
बनाना	 to make
बनारस (m)	 Banaras; Varanasi
बर्दाश्त करना	 to tolerate; endure
बर्बाद करना	 to ruin
बर्फ़ी (f)	 snow; ice
बर्थ (f)	 berth
बस (f)	 bus
बस	enough! that's all!
बसना	 to settle; inhabit
बसाना	 to settle; found
बस्ती (f)	 settlement; inhabited area; slum
बहिन (f)	 sister
बहुत	 very; many
बहू (f)	 daughter-in-law
बाँटना	 to divide
बाँसुरी (f)	 bamboo flute
बाँह (f)	 (upper) arm
बाकी	 remaining; left
बाज़ार (m)	 market
बात (f)	 matter; thing
बातचीत (f)	 conversation; negotiation
बाद (में)	 later
बादल (m)	 cloud
बाप (m)	 father
बाबू (m)	 clerk
बायाँ	 left (opposite of right)
बार (f)	 time; occasion
बारह	 twelve
बारिश (f)	 rain
बारे में	 about; concerning
बाल-बच्चे (m)	 children; family
बाहर	 out; outside; away
बिकना	 to be sold
बिगड़ना	 to go wrong; get angry
बिजली (f)	 electricity
बिठाना	 to make sit
बियर (f)	 beer
बिलकुल	 completely
बिल्ली (f)	 cat
बी.एच.यू. (f)	 BHU (Banaras Hindu University)
बीतना	 to pass (of time)
बीमार	 ill
बीस	 twenty
बुखार (m)	 fever
बुढ़िया (f)	 old woman
बुरा	 bad
बुलाना	 to call; invite
बूढ़ा (m)	 old (of people); old man
बेकार	 useless
बेचना	 to sell
बेचारा	 poor; wretched; helpless
बेचैन	 restless
बेटा (m)	 son; child
बेटी (f)	 daughter; child
बेवकूफ़	 stupid
बैठक (f)	 sitting room
बैठना	 to sit
बैठा	 seated; sitting
बोतल (f)	 bottle
बोर करना	 to bore
बोरियत (f)	 boredom
बोलना	 to speak
बोली (f)	 speech; dialect
ब्राह्मण (m)	 Brahmin
भगवान (m)	 God
भतीजा (m)	 nephew
भविष्य (m)	 future
भाई (m)	 brother
भागना	 to run away; flee
भाभी (f)	elder brother's wife
भारत (m)	 India
भारी	 heavy
भाषा (f)	 language
भिखारी (m)	 beggar
भी	 also; too
भीगा	 wet
भीड़ (f)	 crowd
भूख (f)	 hunger
भूखा	 hungry
भूत (m)	 ghost
भूल (f)	 mistake
भूलना	 to forget; err
भेंट (f)	 gift; presentation; meeting; encounter
भेजना	 to send
भेद (m)	 difference
भैया (m)	 brother
भोजन (m)	 food
भोला	 innocent; guileless
भौंकना	 to bark
भ्रष्ट	 corrupted
मँगवाना	 to order; send for
मंदिर (m)	 temple
मकान (m)	 house
मक्खन (m)	 butter
मक्खी (f)	 fly
मगरमच्छ (m)	 crocodile
मगर	 but
मचना	 to break out; be caused
मचाना	 to create (noise etc.)
मच्छर (m)	 mosquito
मज़दूर (m)	 labourer
मज़बूत	 strong
मजबूरी (f)	 compulsion
मज़ा (m)	 fun; pleasure; enjoyment
मज़ाक (m)	 joke
मत	don't (in commands)
मतलब (m)	 meaning
मदद (f)	 help
मन (m)	 mind; heart
मना	 forbidden; prohibited
मरना	 to die
मरम्मत (f)	 repair
मर्द (m)	 man; male
मशहूर	 famous
मसूरी (f)	 Mussoorie
मस्त	 happy; carefree; delighted
महँगा	 expensive
महल (m)	 palace
महसूस करना	 to feel; experience
महाभारत (m)	India's mythical epic war
महायुद्ध (m)	 great war
महाराजा (m)	 maharaja
महिला (f)	 lady
महीन	 fine; delicate
महीना (m)	 month
महोदय (m)	 gentleman (term of address)
माँ (f)	 ma; mother
माँस (m)	 meat
माता (f)	 mother
मानना	 to accept; believe
मानव (m)	 man
मापना	 to measure; cover
माफ़ करना	 to forgive; excuse
माफ़ी (f)	 forgiveness
मामला (m)	 matter; affair
मारना	 to beat; hit; kill
मारुति (f)	 Maruti (make of car)
मार्च (m)	 March
मालिक (m)	 boss
माला (f)	 garland
माली (m)	 gardener
मालूम	 known
माहिर	 expert; skilled
मिठाई (f)	 sweet; sweet dish
मित्र (m)	 friend
मिनट (m)	 minute
मिलना	 to meet; to be available; to resemble
मिलाना	 to dial; phone; to join; to mix
मिस्त्री (m)	 mechanic; artisan
मीटिंग (f)	 meeting
मीठा	 sweet
मुँह (m)	 mouth; face
मुझ	 oblique of मैं (I)
मुड़ना	 to turn
मुन्ना (m)	'Munna' (nickname for little boy)
मुमकिन	 possible
मुलाकात (f)	 meeting; encounter
मुश्किल (f)	 difficult; difficulty
मुसलमान (m)	 Muslim
मुसाफ़िर (m)	 traveller
मुस्कराना	 to smile
मूर्ख (m)	 fool
मूर्ति (f)	 statue; image
मूल (m)	 origin
में	 in; from among; out of
मेज़ (f)	 table
मेरा	 my; mine
मेहनत (f)	 hard work
मेहनती	 hardworking
मेहमान (m)	 guest
मेहरबानी (f)	 kindness
मैं	 I
मैडम (f)	 madam
